"","EstacaoCodigo","Data","Vazão","Mês","Ano","Dia"
"107",58874000,1940-04-16,34.917301,4,1940,16
"108",58874000,1940-04-17,34.424801,4,1940,17
"109",58874000,1940-04-18,34.917301,4,1940,18
"110",58874000,1940-04-19,35.4128,4,1940,19
"111",58874000,1940-04-20,36.918301,4,1940,20
"112",58874000,1940-04-21,34.424801,4,1940,21
"113",58874000,1940-04-22,33.449299,4,1940,22
"114",58874000,1940-04-23,32.966301,4,1940,23
"115",58874000,1940-04-24,32.486401,4,1940,24
"116",58874000,1940-04-25,32.009602,4,1940,25
"117",58874000,1940-04-26,31.535999,4,1940,26
"118",58874000,1940-04-27,32.966301,4,1940,27
"119",58874000,1940-04-28,31.535999,4,1940,28
"120",58874000,1940-04-29,31.535999,4,1940,29
"121",58874000,1940-04-30,32.966301,4,1940,30
"122",58874000,1940-05-01,36.413399,5,1940,1
"123",58874000,1940-05-02,35.911598,5,1940,2
"124",58874000,1940-05-03,33.449299,5,1940,3
"125",58874000,1940-05-04,32.486401,5,1940,4
"126",58874000,1940-05-05,33.935501,5,1940,5
"127",58874000,1940-05-06,38.9692,5,1940,6
"128",58874000,1940-05-07,38.9692,5,1940,7
"129",58874000,1940-05-08,33.449299,5,1940,8
"130",58874000,1940-05-09,32.966301,5,1940,9
"131",58874000,1940-05-10,32.966301,5,1940,10
"132",58874000,1940-05-11,30.5984,5,1940,11
"133",58874000,1940-05-12,29.2157,5,1940,12
"134",58874000,1940-05-13,28.7612,5,1940,13
"135",58874000,1940-05-14,28.7612,5,1940,14
"136",58874000,1940-05-15,28.7612,5,1940,15
"137",58874000,1940-05-16,27.8617,5,1940,16
"138",58874000,1940-05-17,27.8617,5,1940,17
"139",58874000,1940-05-18,27.8617,5,1940,18
"140",58874000,1940-05-19,27.8617,5,1940,19
"141",58874000,1940-05-20,28.3099,5,1940,20
"142",58874000,1940-05-21,30.5984,5,1940,21
"143",58874000,1940-05-22,30.1343,5,1940,22
"144",58874000,1940-05-23,28.7612,5,1940,23
"145",58874000,1940-05-24,28.3099,5,1940,24
"146",58874000,1940-05-25,26.9751,5,1940,25
"147",58874000,1940-05-26,26.5366,5,1940,26
"148",58874000,1940-05-27,26.101299,5,1940,27
"149",58874000,1940-05-28,26.101299,5,1940,28
"150",58874000,1940-05-29,26.101299,5,1940,29
"151",58874000,1940-05-30,25.6693,5,1940,30
"152",58874000,1940-05-31,25.6693,5,1940,31
